,page_content
0,"alias: Altanza
direccion: Av. Paseo Altanza 2132 Lote 123, Col. El triángulo, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 3.0
banos: 4.0
medios_banos: 0.0
cuarto_de_servicio: 0.0
estacionamientos: 2.0
terreno: 191.0
frente: 8.52
fondo: 22.77
construccion: 268.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 10500000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: Casa en venta a estrenar en Coto Altanza, cuenta con acabados de lujo, cochera para dos autos, sala-comedor con vista al jardín. El coto cuenta con amenidades como alberca, gimnasio, terraza para eventos y seguridad 24/7.
"
1,"alias: Altavista
direccion: Alta Vista 450 248, Col. Altavista residencial, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 3.0
banos: 2.0
medios_banos: 1.0
cuarto_de_servicio: 0.0
estacionamientos: 2.0
terreno: 102.0
frente: 6.0
fondo: 17.0
construccion: 102.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 3600000
mantenimiento: 900
estado: bueno
antiguedad: 12
gravamen: si
descripcion: Casa de tres recámaras ubicada en coto con excelente ubicación, con áreas verdes y terraza con alberca
"
2,"alias: Bosques Vallarta
direccion: CIRCUITO DEL BOSQUE 493 5, Col. Bosques vallarta, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 3.0
recamaras: 4.0
banos: 4.0
medios_banos: 0.0
cuarto_de_servicio: 0.0
estacionamientos: 2.0
terreno: 165.31
frente: 8.0
fondo: 20.5
construccion: 235.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 6990000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: HERMOSA CASA DENTRO DE COTO PRIVADO CONTROLADO FRENE A PARQUE CON 4 RECAMARAS CON BAÑO COMPLETO LA PRINCIPAL CON WALK-IN-CLOSET, ESTUDIO Y/O 5TA. RECAMARA EN ROOF TOP, CON TERRAZA CON VISTA A LA PRIMAVERA , SALA COMEDOR, COCINA INTEGRAL EQUIPADA CON ESTUFA Y CAMPANA, CUBIERTA DE GRANITO, COCHERA DOS AUTOS, SERVIDUMBRE LATERAL, SISTEMA HIDRÁULICO CISTERNA-BOMBA-TINACO, CALENTADOR DE PASO.
"
3,"alias: Bugambilias
direccion: Remanso de las Jirafas Pte. 225, Col. Ciudad bugambilia, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 3.0
banos: 3.0
medios_banos: 1.0
cuarto_de_servicio: 1.0
estacionamientos: 4.0
terreno: 535.0
frente: 11.5
fondo: 31.18
construccion: 485.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 10000000
mantenimiento: 0
estado: bueno
antiguedad: 35
gravamen: no
descripcion: Propiedad en buen estado con jardín perimetral, bien iluminada, en buen estado y lista para habitar. El cuarto de servicio cuenta con baño completo y área de lavado.
"
4,"alias: Capital Norte Coto Carrara
direccion: Avenida Paseo de la Cantera 765 107, Col. Sendas residencial, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 3.0
recamaras: 4.0
banos: 3.0
medios_banos: 1.0
cuarto_de_servicio: 1.0
estacionamientos: 2.0
terreno: 114.7
frente: 7.0
fondo: 16.38
construccion: 175.24
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 3950000
mantenimiento: 1200
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
5,"alias: Capital Norte Coto Sivec 73
direccion: Av. D 575 73, Col. Sendas residencial, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 3.0
recamaras: 3.0
banos: 3.0
medios_banos: 1.0
cuarto_de_servicio: 1.0
estacionamientos: 2.0
terreno: 115.2
frente: 7.0
fondo: 16.5
construccion: 172.31
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 3950000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
6,"alias: Capital Norte Coto Carrara
direccion: Avenida Paseo de a Cantera 765 Coto Carrara 193, Col. Valle imperial, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 3.0
recamaras: 4.0
banos: 5.0
medios_banos: 0.0
cuarto_de_servicio: 1.0
estacionamientos: 2.0
terreno: 143.25
frente: 7.13
fondo: 21.09
construccion: 225.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 5200000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
7,"alias: Capital Norte Coto Sienna
direccion: Paseo de la Cantera 702 Casa 28, Col. Sendas residencial, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 3.0
recamaras: 3.0
banos: 2.0
medios_banos: 1.0
cuarto_de_servicio: 0.0
estacionamientos: 2.0
terreno: 112.0
frente: 7.0
fondo: 16.0
construccion: 163.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 3900000
mantenimiento: 1200
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
8,"alias: Capuchinas Chapalita
direccion: Capuchinas 2961, Col. Chapalita, Guadalajara, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 3.0
banos: 2.0
medios_banos: 0.0
cuarto_de_servicio: 1.0
estacionamientos: 2.0
terreno: 362.0
frente: 22.05
fondo: 14.54
construccion: 239.0
forma: regular
uso_de_suelo: comercial, habitacional
relieve: plano
precio: 12000000
mantenimiento: 0
estado: regular
antiguedad: 45
gravamen: no
descripcion: nan
"
9,"alias: El Manantial
direccion: Av. López Mateos Sur 5560, Col. El manantial, Tlajomulco de zúñiga, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 4.0
banos: 4.0
medios_banos: 1.0
cuarto_de_servicio: 1.0
estacionamientos: 4.0
terreno: 289.0
frente: 11.0
fondo: 25.0
construccion: 260.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 8100000
mantenimiento: 0
estado: excelente
antiguedad: 5
gravamen: no
descripcion: nan
"
